Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.27     0.00     2509     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::count(unsigned long long const&) const
  0.00      0.27     0.00     2509     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > const*, std::_Rb_tree_node<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > const*, unsigned long long const&) const
  0.00      0.27     0.00     2509     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::find(unsigned long long const&) const
  0.00      0.27     0.00     2509     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_end() const
  0.00      0.27     0.00     2509     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_begin() const
  0.00      0.27     0.00     2471     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::pair<unsigned long long, int>*>(std::pair<unsigned long long, int>*, std::pair<unsigned long long, int>*)
  0.00      0.27     0.00     2471     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::_M_deallocate(std::pair<unsigned long long, int>*, unsigned long)
  0.00      0.27     0.00     2471     0.00     0.00  void std::_Destroy<std::pair<unsigned long long, int>*>(std::pair<unsigned long long, int>*, std::pair<unsigned long long, int>*)
  0.00      0.27     0.00     2471     0.00     0.00  void std::_Destroy<std::pair<unsigned long long, int>*, std::pair<unsigned long long, int> >(std::pair<unsigned long long, int>*, std::pair<unsigned long long, int>*, std::allocator<std::pair<unsigned long long, int> >&)
  0.00      0.27     0.00     2433     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long long, int> >::max_size() const
  0.00      0.27     0.00     1930     0.00     0.00  std::move_iterator<std::pair<unsigned long long, int>*>::base() const
  0.00      0.27     0.00     1824     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::operator[](unsigned long long const&)
  0.00      0.27     0.00     1824     0.00     0.00  std::pair<std::shared_ptr<Node>, int>::operator=(std::pair<std::shared_ptr<Node>, int>&&)
  0.00      0.27     0.00     1824     0.00     0.00  std::shared_ptr<Node>&& std::forward<std::shared_ptr<Node> >(std::remove_reference<std::shared_ptr<Node> >::type&)
  0.00      0.27     0.00     1718     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.27     0.00     1698     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::operator[](unsigned long long&&)
  0.00      0.27     0.00     1698     0.00     0.00  unsigned long long&& std::forward<unsigned long long>(std::remove_reference<unsigned long long>::type&)
  0.00      0.27     0.00     1667     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::size() const
  0.00      0.27     0.00     1661     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::begin()
  0.00      0.27     0.00     1660     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long long, int> >::new_allocator()
  0.00      0.27     0.00     1660     0.00     0.00  __gnu_cxx::new_allocator<std::pair<unsigned long long, int> >::~new_allocator()
  0.00      0.27     0.00     1660     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::size() const
  0.00      0.27     0.00     1660     0.00     0.00  std::allocator<std::pair<unsigned long long, int> >::allocator()
  0.00      0.27     0.00     1660     0.00     0.00  std::allocator<std::pair<unsigned long long, int> >::~allocator()
  0.00      0.27     0.00     1660     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::_Vector_impl::_Vector_impl()
  0.00      0.27     0.00     1660     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::_Vector_impl::~_Vector_impl()
  0.00      0.27     0.00     1660     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::_Vector_base()
  0.00      0.27     0.00     1660     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::~_Vector_base()
  0.00      0.27     0.00     1660     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::begin()
  0.00      0.27     0.00     1660     0.00     0.00  std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::end()
  0.00      0.27     0.00     1660     0.00     0.00  std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::begin()
  0.00      0.27     0.00     1660     0.00     0.00  std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::vector()
  0.00      0.27     0.00     1660     0.00     0.00  std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::~vector()
  0.00      0.27     0.00     1622     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::_M_get_Tp_allocator() const
  0.00      0.27     0.00     1622     0.00     0.00  std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::max_size() const
  0.00      0.27     0.00     1622     0.00     0.00  std::move_iterator<std::pair<unsigned long long, int>*>::move_iterator(std::pair<unsigned long long, int>*)
